age,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,gender_Male,gender_Other,occupation_Doctor,occupation_Freelancer,occupation_Manager,occupation_Researcher,occupation_Software Engineer,occupation_Student,occupation_Teacher
54.0,1.96,116.0,5.33,0.0,79.0,60.0,3.23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43.0,1.77,12.0,4.12,2.0,32.0,174.0,1.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45.0,2.46,41.0,7.49,4.0,56.0,259.0,3.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,6.77,51.0,6.67,3.0,92.0,299.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33.0,8.76,7.0,7.18,1.0,111.0,87.0,9.13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24.0,4.62,112.0,4.71,3.0,80.0,142.0,8.55,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36.0,2.63,83.0,7.91,4.0,32.0,36.0,3.61,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,3.92,47.0,5.09,0.0,26.0,156.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,9.6,55.0,8.44,2.0,96.0,108.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
49.0,9.83,35.0,8.13,2.0,47.0,290.0,7.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,3.99,13.0,8.71,2.0,82.0,251.0,3.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,7.82,96.0,5.78,2.0,13.0,117.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29.0,7.29,116.0,6.68,3.0,73.0,54.0,7.72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,3.6,21.0,8.93,0.0,40.0,25.0,1.84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52.0,4.94,60.0,8.73,0.0,110.0,91.0,4.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,1.27,51.0,7.59,3.0,92.0,99.0,1.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,7.53,91.0,8.73,0.0,0.0,32.0,8.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32.0,1.09,76.0,7.42,0.0,81.0,134.0,3.06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26.0,5.25,94.0,8.11,0.0,25.0,244.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49.0,1.57,28.0,8.39,4.0,50.0,73.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58.0,8.2,71.0,4.4,0.0,9.0,132.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30.0,9.37,114.0,4.31,0.0,24.0,49.0,9.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28.0,1.69,63.0,7.38,2.0,57.0,163.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,6.35,105.0,4.42,0.0,64.0,229.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,3.37,14.0,8.18,4.0,95.0,162.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,3.39,42.0,6.99,0.0,79.0,216.0,3.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,4.79,82.0,5.88,0.0,85.0,241.0,6.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,2.23,98.0,6.43,0.0,32.0,145.0,2.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,4.67,109.0,6.67,4.0,42.0,124.0,4.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38.0,5.41,119.0,6.24,4.0,6.0,258.0,8.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,6.23,90.0,8.37,2.0,42.0,205.0,9.52,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53.0,2.32,49.0,5.01,3.0,29.0,273.0,3.99,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28.0,4.75,107.0,7.79,2.0,10.0,100.0,6.42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46.0,8.8,92.0,4.97,2.0,90.0,200.0,8.87,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31.0,5.28,16.0,5.66,4.0,23.0,128.0,5.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32.0,3.42,94.0,8.85,4.0,65.0,118.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
